seed,irrev_sit_count,ablated_sit_count,delta_sit_count,irrev_mean_Ct,ablated_mean_Ct,delta_mean_Ct,irrev_normal_ticks,ablated_normal_ticks,delta_normal_ticks,irrev_alpha_final,ablated_alpha_final,delta_alpha_final,irrev_alpha_slope,ablated_alpha_slope,delta_alpha_slope
36,0.0,0.0,0.0,0.5657303921568626,0.6248967320261438,-0.059166339869281215,60.0,56.0,4.0,0.8965,0.8964,9.999999999998899e-05,0.3226466666666665,0.32254666666666654,9.999999999998899e-05
37,0.0,0.0,0.0,0.5621084967320261,0.6297745098039215,-0.06766601307189535,60.0,57.0,3.0,0.5554,0.5554,0.0,0.08216666666666661,0.08216666666666661,0.0
38,0.0,0.0,0.0,0.5660529411764706,0.6339091503267973,-0.06785620915032664,59.0,56.0,3.0,0.5478,0.5478,0.0,0.07456666666666667,0.07456666666666667,0.0
39,0.0,0.0,0.0,0.5699794117647059,0.6297519607843137,-0.059772549019607824,59.0,55.0,4.0,0.8657,0.8702,-0.0044999999999999485,0.2918466666666667,0.29634666666666665,-0.0044999999999999485
40,0.0,0.0,0.0,0.5657212418300653,0.6250049019607843,-0.05928366013071895,60.0,56.0,4.0,0.864,0.8639,9.999999999998899e-05,0.2912233333333333,0.2911233333333333,9.999999999998899e-05
41,0.0,0.0,0.0,0.5653849673202614,0.6246686274509803,-0.05928366013071884,60.0,56.0,4.0,0.8722,0.8721,9.999999999998899e-05,0.2993400000000003,0.29924000000000006,0.00010000000000021103
42,0.0,0.0,0.0,0.5619967320261438,0.6300215686274508,-0.06802483660130709,59.0,57.0,2.0,0.5479,0.5539,-0.005999999999999894,0.07466666666666666,0.08066666666666666,-0.006000000000000005
43,0.0,0.0,0.0,0.5699794117647059,0.627080065359477,-0.05710065359477112,59.0,55.0,4.0,0.8657,0.8788,-0.0131,0.2918466666666667,0.3049466666666666,-0.01309999999999989
44,0.0,0.0,0.0,0.5696375816993464,0.6281575163398692,-0.05851993464052274,59.0,56.0,3.0,0.8704,0.8811,-0.010700000000000043,0.2965466666666666,0.30724666666666667,-0.010700000000000043
45,0.0,0.0,0.0,0.5657267973856208,0.6250104575163398,-0.05928366013071895,60.0,56.0,4.0,0.902,0.9018,0.00019999999999997797,0.3291400000000001,0.32894000000000034,0.00019999999999975593
